::1 - - [21/May/2024:16:37:10 +0000] "POST /users/register HTTP/1.1" 201 270 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:16:37:16 +0000] "POST /users/login HTTP/1.1" 200 201 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:16:40:02 +0000] "POST /users/upload-profile-picture HTTP/1.1" 500 1313 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:16:40:28 +0000] "POST /users/upload-profile-picture HTTP/1.1" 500 261 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:16:42:37 +0000] "POST /users/upload-profile-picture HTTP/1.1" 500 261 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:16:53:05 +0000] "POST /users/upload-profile-picture HTTP/1.1" 200 389 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:17:10:09 +0000] "GET /users/profile HTTP/1.1" 200 331 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:17:16:50 +0000] "PUT /users/profile HTTP/1.1" 404 152 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:17:17:26 +0000] "PUT /users/profile HTTP/1.1" 200 331 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:17:17:50 +0000] "PUT /users/profile HTTP/1.1" 200 329 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:18:07:14 +0000] "POST /api/post HTTP/1.1" 404 148 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:18:07:39 +0000] "POST /api/posts HTTP/1.1" 200 318 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:18:19:17 +0000] "POST /api/posts HTTP/1.1" 200 1012 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:18:21:27 +0000] "GET /api/posts HTTP/1.1" 200 1333 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:18:26:21 +0000] "GET /api/posts/664ce2ebfbbb06c96993cc1b HTTP/1.1" 200 318 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:18:26:25 +0000] "GET /api/posts/664ce2ebfbbb06c96993cc1 HTTP/1.1" 500 32 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:18:26:32 +0000] "GET /api/posts/664 HTTP/1.1" 500 32 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:18:26:38 +0000] "GET /api/posts/123 HTTP/1.1" 500 32 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:18:26:46 +0000] "GET /api/posts/664ce2ebfbbb06c96993cc1b HTTP/1.1" 200 318 "-" "PostmanRuntime/7.39.0"
::1 - - [21/May/2024:18:49:38 +0000] "GET /api/posts/664ce2ebfbbb06c96993cc1b HTTP/1.1" 200 318 "-" "PostmanRuntime/7.39.0"
